n,sigma3_n,e4_coeff_n
798,594679680,142723123200
799,510191136,122445872640
800,589859199,141566207760
801,533662290,128078949600
802,580330818,139279396320
803,518171976,124361274240
804,614761616,147542787840
805,527409792,126578350080
806,589345344,141442882560
807,545023080,130805539200
808,602726670,144654400800
809,529475130,127074031200
810,625833054,150199932960
811,533411732,128018815680
812,612481680,146995603200
813,557270336,133744880640
814,607240152,145737636480
815,545674248,130961819520
816,644068152,154576356480
817,545424880,130901971200
818,615761370,147782728800
819,572376784,137370428160
820,633944556,152146693440
821,553387662,132813038880
822,647981208,155515489920
823,557441768,133786024320
824,639245880,153419011200
825,587449296,140987831040
826,635856480,152605555200
827,565609284,135746228160
828,672415848,161379803520
829,569722790,136733469600
830,648407592,155617822080
831,595110152,142826436480
832,658505414,158041299360
833,579817602,139156224480
834,676776240,162426297600
835,586840464,140841711360
836,667038960,160089350400
837,608948480,146147635200
838,662040540,158889729600
839,590589720,141741532800
840,709974720,170393932800
841,594847711,142763450640
842,671566158,161175877920
843,621265176,149103642240
844,685757036,164581688640
845,608454882,146029171680
846,707352912,169764698880
847,609875192,146370046080
848,696897918,167255500320
849,634625264,152310063360
850,696603726,167184894240
851,616357872,147925889280
852,731572128,175577310720
853,620650478,148956114720
854,702736272,168656705280
855,654320520,157036924800
856,716650740,171996177600
857,629422794,151061470560
858,737789472,177069473280
859,633839780,152121547200
860,731314584,175515500160
861,663856704,159325608960
862,720566928,172936062720
863,642735648,154256555520
864,765457560,183709814400
865,652392468,156574192320
866,730644642,175354714080
867,675989524,162237485760
868,748136704,179552808960
869,656729280,157615027200
870,774431280,185863507200
871,661079272,158659025280
872,757592550,181822212000
873,690894218,165814612320
874,751252320,180300556800
875,677293344,162550402560
876,795152792,190836670080
877,674526134,161886272160
878,761440680,182745763200
879,704305224,169033253760
880,785621592,188549182080
881,683797842,164111482080
882,803886309,192932714160
883,688465388,165231693120
884,788470956,189233029440
885,724580640,173899353600
886,782444772,187786745280
887,697864104,167487384960
888,829712520,199131004800
889,704644096,169114583040
890,799435980,191864635200
891,735105492,176425318080
892,809538464,194289231360
893,712232640,170935833600
894,833603400,200064816000
895,722652840,173436681600
896,824480280,197875267200
897,748867392,179728174080
898,814669650,195520716000
899,726626880,174390451200
900,870416011,208899842640
901,731586492,175580758080
902,826236936,198296864640
903,765821056,183797053440
904,844095330,202582879200
905,747147492,179315398080
906,867623904,208229736960
907,746142644,179074234560
908,853887132,204932911680
909,779938614,187185267360
910,857431008,205783441920
911,756058032,181453927680
912,899126480,215790355200
913,761621616,182789187840
914,858995946,206159027040
915,800792496,192190199040
916,876656270,210397504800
917,773343648,185602475520
918,903979440,216955065600
919,776151560,186276374400
920,896903280,215256787200
921,810164432,194439463680
922,881749638,211619913120
923,786690576,188805738240
924,936577152,224778516480
925,797851154,191484276960
926,893275632,214386151680
927,827195096,198526823040
928,913381110,219211466400
929,801765090,192423621600
930,945955584,227029340160
931,809431980,194263675200
932,923401674,221616401760
933,842246496,202139159040
934,916628076,219990738240
935,824726448,197934347520
936,973373310,233609594400
937,822656954,197437668960
938,931165344,223479682560
939,858600344,206064082560
940,954973152,229193556480
941,833237622,199977029280
942,975213288,234051189120
943,838642896,201274295040
944,961383780,230732107200
945,885951360,212628326400
946,953141904,228754056960
947,849278124,203826749760
948,1007773760,241865702400
949,855061564,205214775360
950,972466740,233392017600
951,891940392,214065694080
952,988893360,237334406400
953,865523178,207725562720
954,1014305814,243433395360
955,877951872,210708449280
956,996590160,239181638400
957,909649440,218315865600
958,989120160,237388838400
959,884545776,212290986240
960,1056964104,253671384960
961,887533473,213008033520
962,1002037428,240488982720
963,927358308,222565993920
964,1021819106,245236585440
965,905821308,217397113920
966,1054819584,253156700160
967,904231064,217015455360
968,1037142405,248914177200
969,943881120,226531468800
970,1034972316,248393355840
971,915498612,219719666880
972,1087757524,261061805760
973,923853280,221724787200
974,1039511736,249482816640
975,969379544,232651090560
976,1062502742,255000658080
977,932574834,223817960160
978,1091348496,261923639040
979,939020040,225364809600
980,1085299614,260471907360
981,980337710,235281050400
982,1065336948,255680867520
983,949862088,227966901120
984,1128942360,270946166400
985,963317124,231196109760
986,1078672140,258881313600
987,1000032768,240007864320
988,1100714440,264171465600
989,967453344,232188802560
990,1143439416,274425459840
991,973242272,233578145280
992,1115680608,267763345920
993,1015411376,243698730240
994,1108095552,265942932480
995,992955600,238309344000
996,1168734672,280496321280
997,991026974,237846473760
998,1118263500,268383240000
999,1035367760,248488262400
1000,1151792460,276430190400
